DATE,SALES,COST_OF_SALES,QUANTITY_SOLD
2014-12-26,48102.96241,49028.36507,1169
2014-12-27,110162.13200,112383.55920,2676
2014-12-28,69051.33709,70482.71780,1677
2014-12-29,133307.36900,136003.48250,3237
2014-12-30,216389.50430,235723.76480,5607
2014-12-31,365055.31200,398013.34830,9464
2015-01-01,112161.41960,122170.43170,2905
2015-01-02,271101.46170,295019.46940,7023
2015-01-03,245813.28830,267734.72530,6371
2015-01-04,178394.81200,194427.44800,4624
2015-01-05,220443.63150,239988.02750,5717
2015-01-06,181534.18870,197328.94390,4705
2015-01-07,83176.48139,84728.83120,2020
2015-01-08,76894.77935,78468.09550,1868
2015-01-09,123859.38800,126444.14250,3008
2015-01-10,120807.57420,123392.80410,2934
2015-01-11,69597.36735,71051.36350,1690
2015-01-12,84738.29441,86467.53775,2058
2015-01-13,64653.97214,65980.42209,1570
2015-01-14,59553.38603,60703.35603,1446
2015-01-15,79080.75696,80337.74831,1921
2015-01-16,149444.05680,152030.98650,3629
2015-01-17,170624.07990,173547.02710,4144
2015-01-18,74744.28315,76003.92825,1815
2015-01-19,90144.16140,91110.96935,2189
2015-01-20,97826.80880,99134.30699,2376
2015-01-21,62795.97915,64144.08888,1525
2015-01-22,66550.98983,67952.15055,1616
2015-01-23,154670.89070,158031.79100,3757
2015-01-24,158722.10560,162082.41840,3855
2015-01-25,78092.27692,79795.04310,1897
2015-01-26,91830.40204,93808.08675,2230
2015-01-27,76992.93568,78614.45775,1870
2015-01-28,59897.71588,61194.18026,1455
2015-01-29,57310.19404,58531.41099,1392
2015-01-30,134540.21450,137221.53750,3268
2015-01-31,200193.61200,203814.73640,4862
2015-02-01,171469.93050,174652.45800,4165
2015-02-02,151737.21880,154148.59880,3685
2015-02-03,102072.44340,103634.96420,2479
2015-02-04,82514.10512,83232.39137,2005
2015-02-05,46211.33246,46407.29912,1122
2015-02-06,85730.41481,85765.70934,2082
2015-02-07,105918.29330,105662.55620,2573
2015-02-08,73041.66087,73046.23390,1774
2015-02-09,97908.54710,97097.93659,2378
2015-02-10,138667.41590,148522.84900,3677
2015-02-11,162162.10350,173661.82780,4299
2015-02-12,138520.12680,147756.34280,3674
2015-02-13,358597.42850,382447.08040,9505
2015-02-14,424009.88250,451548.02760,11237
2015-02-15,203861.47240,217065.61520,5406
2015-02-16,220506.20930,234723.22000,5846
2015-02-17,139935.93700,148697.54370,3713
2015-02-18,161064.75230,170739.36660,4270
2015-02-19,144328.54520,152824.11490,3827
2015-02-20,293071.75920,310240.37840,7770
2015-02-21,267782.15400,283430.33680,7102
2015-02-22,136052.68840,144020.12280,3608
2015-02-23,86703.31409,85730.96654,2150
2015-02-24,95474.35737,100867.52410,2530
2015-02-25,198431.62750,209499.79410,5253
2015-02-26,157291.73400,166305.03760,4171
2015-02-27,307540.67520,324997.33650,8156
2015-02-28,350898.76350,375030.63550,9296
2015-03-01,256701.54270,276569.25040,6803
2015-03-02,234705.59280,252709.82310,6221
2015-03-03,249380.56540,268761.83240,6611
2015-03-04,258211.44420,278825.60670,6843
2015-03-05,145975.83390,157578.00590,3858
2015-03-06,269239.85260,291365.01760,7128
2015-03-07,306920.21160,332242.41160,8127
2015-03-08,122106.79560,121394.81220,2966
2015-03-09,117661.28080,116861.15830,2858
2015-03-10,62499.79917,62073.87265,1518
2015-03-11,57063.98412,56638.28137,1386
2015-03-12,48008.48284,47681.67208,1166
2015-03-13,117446.83910,116681.14160,2853
2015-03-14,150591.54790,149573.82760,3657
2015-03-15,67152.47495,66802.98322,1631
2015-03-16,80635.28925,80121.29052,1959
2015-03-17,50669.63710,50308.95705,1230
2015-03-18,48648.99266,48362.06879,1182
2015-03-19,43213.17762,42981.21685,1050
2015-03-20,96881.01809,96453.28728,2353
2015-03-21,121360.88510,120829.28800,2947
2015-03-22,66954.36637,66756.37644,1626
2015-03-23,81342.15076,81132.01290,1976
2015-03-24,125060.70790,136375.15270,3312
2015-03-25,253218.83120,276194.82950,6704
2015-03-26,229184.47190,250361.15020,6077
2015-03-27,354191.35100,386464.65130,9386
2015-03-28,459484.66660,501362.57250,12181
2015-03-29,224102.88850,244359.80750,5937
2015-03-30,215203.55880,234819.44740,5706
2015-03-31,355534.91200,386988.91470,9421
2015-04-01,498894.34390,542483.83580,13207
2015-04-02,715032.18990,777522.19280,18936
2015-04-03,510289.21560,554159.81940,13503
2015-04-04,400302.03950,434872.72890,10600
2015-04-05,135578.20340,147335.92510,3591
2015-04-06,182466.25520,198405.22910,4836
2015-04-07,176814.20260,178390.14910,4348
2015-04-08,100917.67160,100579.12890,2451
2015-04-09,74690.67273,74427.58597,1814
2015-04-10,114067.07710,113653.97360,2770
2015-04-11,126507.80090,126043.76920,3072
2015-04-12,79648.62939,79349.40245,1934
2015-04-13,83137.43243,82700.35417,2019
2015-04-14,40776.02706,39940.19958,979
2015-04-15,58278.45793,56969.92259,1398
2015-04-16,50000.10144,48827.88538,1198
2015-04-17,103911.91910,101408.94960,2485
2015-04-18,132843.22260,129545.53210,3172
2015-04-19,62786.61128,61213.25591,1497
2015-04-20,57233.40664,55706.87543,1365
2015-04-21,56874.34546,55172.17123,1353
2015-04-22,132737.73700,140263.93010,3439
2015-04-23,60310.33895,58446.05493,1434
2015-04-24,343587.00850,362390.59600,8892
2015-04-25,496882.31500,535306.00990,13144
2015-04-26,200369.82990,210964.76810,5179
2015-04-27,194028.06180,204053.49890,5014
2015-04-28,190560.57920,200804.03680,4936
2015-04-29,198985.39960,209483.87580,5150
2015-04-30,385482.87200,406252.00760,9986
2015-05-01,499703.41470,526206.93720,12937
2015-05-02,461667.00390,496852.80200,12217
2015-05-03,259541.60870,273280.04640,6721
2015-05-04,320309.27440,336742.60240,8283
2015-05-05,239922.99820,251700.96640,6191
2015-05-06,224994.19510,242259.85950,5959
2015-05-07,117197.97170,115769.08630,2848
2015-05-08,330589.19980,355565.04170,8748
2015-05-09,389972.11980,419827.13650,10329
2015-05-10,166536.00030,179243.05180,4410
2015-05-11,198442.91270,213676.42840,5257
2015-05-12,193182.15060,208039.17340,5118
2015-05-13,166403.12700,179221.57230,4410
2015-05-14,149178.60150,160620.20710,3952
2015-05-15,380592.57760,409812.43270,10084
2015-05-16,413700.17890,445569.71910,10964
2015-05-17,177159.67310,190811.57790,4695
2015-05-18,196420.76350,211510.78610,5205
2015-05-19,137940.87220,147846.05220,3638
2015-05-20,166176.28380,178568.18050,4394
2015-05-21,84604.37757,81763.26739,2012
2015-05-22,321821.02030,346487.52030,8526
2015-05-23,418715.41060,450936.27930,11096
2015-05-24,169541.26590,182419.14140,4489
2015-05-25,256434.50990,276173.79250,6795
2015-05-26,199385.91240,214719.75280,5283
2015-05-27,243554.22430,262251.08010,6453
2015-05-28,217746.01290,234483.41700,5770
2015-05-29,472160.75210,508265.14700,12507
2015-05-30,546135.46240,588250.18120,14475
2015-05-31,264637.36530,284828.65970,7009
2015-06-01,440905.99870,474967.32760,11688
2015-06-02,334318.89780,360168.82710,8863
2015-06-03,269835.82860,290492.10630,7148
2015-06-04,201146.48930,216428.50040,5326
2015-06-05,293461.08390,315937.86220,7775
2015-06-06,349413.00980,376094.72180,9255
2015-06-07,179602.91520,193348.59140,4758
2015-06-08,109810.54570,106166.08160,2613
2015-06-09,76956.92035,74212.79057,1830
2015-06-10,71199.58840,68669.39496,1694
2015-06-11,68988.34667,66539.16520,1642
2015-06-12,155156.87920,149423.24360,3690
2015-06-13,185109.52310,178347.36940,4404
2015-06-14,83779.54401,80659.82181,1992
2015-06-15,149501.57450,143962.87190,3557
2015-06-16,100477.29680,96810.10358,2395
2015-06-17,89072.70535,85639.30775,2120
2015-06-18,78746.59586,75673.78199,1875
2015-06-19,141913.38240,136017.75040,3376
2015-06-20,169304.27830,162287.90920,4027
2015-06-21,89512.24284,85781.80703,2128
2015-06-22,85984.07534,82427.23154,2046
2015-06-23,64956.46208,62169.77712,1546
2015-06-24,106613.43280,113428.47430,2822
2015-06-25,183843.81730,195365.73070,4865
2015-06-26,319579.79410,339241.69180,8450
2015-06-27,369245.75870,392017.97350,9770
2015-06-28,185648.49110,197095.10870,4914
2015-06-29,165557.76180,175871.11090,4385
2015-06-30,212465.08320,225678.93450,5627
2015-07-01,305231.90810,324248.84150,8086
2015-07-02,250481.61770,266061.92840,6639
2015-07-03,268410.48070,284592.99470,7104
2015-07-04,316365.49870,335025.07640,8364
2015-07-05,156873.04370,165968.62450,4146
2015-07-06,173987.75150,184188.97900,4601
2015-07-07,135753.76600,143799.59870,3593
2015-07-08,84426.50941,84588.96304,2114
2015-07-09,70815.19029,71913.06858,1797
2015-07-10,125983.15180,127884.58720,3195
2015-07-11,142378.18400,143924.56510,3595
2015-07-12,57427.68071,58723.04053,1467
2015-07-13,63331.33100,64690.05907,1610
2015-07-14,51241.02855,52509.91622,1307
2015-07-15,80326.44081,81730.27070,2050
2015-07-16,71912.56573,73762.62917,1849
2015-07-17,119204.30950,122669.69940,3070
2015-07-18,129441.27870,132493.43150,3322
2015-07-19,77645.74994,79555.63474,1982
